nid,count
12289,5
286722,1
200707,5
27551,3
2053,5
20487,6
43016,3
322361,1
12886,5
2063,5
106512,2
20499,6
294574,2
106520,1
45989,3
14341,2
12320,6
106529,2
294235,2
18468,3
26661,2
20518,3
45283,1
24006,1
153643,6
286766,4
4010,1
286768,2
286769,2
20051,2
10000051,1
106548,2
286773,3
26680,1
20537,5
286780,2
286782,5
219201,3
18499,2
286788,3
10000054,1
20552,3
153674,3
313421,1
26702,3
23565,3
210592,1
156331,1
10326,1
20567,6
150884,3
12379,1
20573,3
151568,1
133219,3
18533,6
20584,3
286055,1
10350,1
12399,6
27009,2
20595,5
20596,3
9919,1
159868,1
41088,1
69761,6
10370,1
270469,6
270470,6
270471,6
41099,1
10000066,1
256365,1
43152,2
141336,4
22674,1
10000067,1
135534,2
43158,2
238485,2
4250,1
19341,3
137351,1
152602,1
20638,3
43167,1
2209,6
10000076,1
4779,4
12455,2
20649,6
155335,5
327852,1
9212,1
69806,3
2223,6
20154,3
327857,1
22930,1
20896,2
10000073,1
133304,2
7540,6
30907,1
106686,1
20674,3
77515,5
2244,6
256199,1
256200,1
12489,3
26826,6
20683,5
43212,2
10000077,1
43726,1
26842,6
20699,5
10460,2
43231,2
10000078,1
280803,3
106724,1
30758,1
26855,6
1404,4
162031,1
257614,1
26866,6
30963,3
256244,1
151797,1
26871,2
135416,5
164089,1
8442,2
33019,1
31786,2
10000079,1
7919,5
20740,6
45782,1
256262,1
2311,1
197904,1
256267,1
256268,1
19842,3
59339,1
30991,4
10000021,1
23258,3
20767,3
270627,4
44315,1
26919,4
12584,3
164634,1
20780,2
125230,1
10000093,1
40237,1
20786,4
41267,2
260407,1
286772,5
24890,2
20191,6
20796,5
32138,1
43328,2
9522,1
20875,6
7222,1
20806,2
90439,1
294537,1
31050,1
20813,2
10000071,1
10000035,1
41296,1
256338,1
24915,2
12630,3
153943,2
225626,2
20829,6
10000101,1
46480,1
22882,1
11848,1
12644,3
323944,4
20841,3
26989,5
18834,6
188785,3
20852,3
26998,6
10000105,1
165390,5
236266,6
27359,1
12672,1
246145,1
283013,1
237958,1
264583,6
131467,6
27020,3
10000109,1
45464,1
149906,2
6547,1
43412,2
27031,4
20888,5
270404,6
10000016,1
18843,6
248224,5
174049,5
27044,5
31142,2
31143,3
8618,1
18920,2
20909,5
25006,1
27055,6
18865,6
10000085,1
20917,1
80311,2
31903,1
19188,3
12732,5
233917,1
20926,2
169717,1
246209,1
195010,1
10000063,1
11790,3
20936,3
18889,3
60405,1
7245,1
21240,6
93807,1
20947,5
18902,6
20954,5
6767,2
18913,6
12101,1
4580,2
18854,6
246246,1
246248,1
23017,2
246250,1
162283,5
6904,2
246254,1
20976,3
43510,2
63993,6
18938,3
264959,3
43518,2
91740,1
35329,2
286052,1
18950,6
19884,3
18519,3
25100,1
162317,6
18959,6
336401,1
148343,2
20749,2
21014,6
39450,2
18971,6
43549,2
8734,2
6687,1
43552,3
18979,2
257822,1
307751,1
21033,3
39466,1
18990,3
21039,3
303664,4
19521,6
256366,1
39481,2
12863,3
21058,5
20887,2
74309,1
4679,2
90696,3
8777,6
19019,1
21068,3
4043,1
595,6
8788,5
4694,6
21079,3
151311,2
135773,1
608,6
151312,1
21090,3
133731,2
133732,1
19046,4
151313,1
9999996,1
156268,5
21102,6
27069,6
32083,1
627,4
189045,5
3177,1
189048,2
135803,1
236156,1
21117,6
19076,6
283269,1
57990,2
3180,1
10000024,1
68235,1
12940,5
57999,6
19088,6
135825,2
275090,6
21139,3
55956,6
45718,3
125591,5
74393,6
125594,5
6811,2
125596,4
45850,2
27898,1
21151,6
672,3
27297,1
21163,6
286785,5
55975,6
6825,1
6827,1
236205,1
687,6
12978,3
23219,4
21173,3
129718,1
55992,6
19133,6
115488,3
21188,6
43718,1
115489,2
4808,6
8906,3
115490,3
21198,3
7629,4
45777,1
4818,6
56099,3
19156,6
56021,6
21206,4
45784,1
6874,2
74460,6
10000095,1
19167,6
1488,2
19170,2
8932,5
4837,4
21222,4
244455,5
56040,6
10364,1
129770,1
227111,2
1490,2
68334,1
244463,1
244464,1
244465,1
80626,1
244467,1
244468,1
244469,1
244471,1
244472,1
244473,1
35578,1
43771,2
264956,2
19198,5
56063,6
244480,1
20608,3
6614,1
159873,1
13064,6
68396,1
21258,6
19211,6
93522,1
45376,1
20212,3
115481,2
21274,6
164635,1
45852,2
45854,2
45856,2
21281,5
20417,6
218587,3
200838,1
191270,6
45786,1
4905,1
27987,1
811,1
6956,2
336686,1
161587,4
4916,6
13109,2
3209,1
10000098,1
6970,3
4926,6
21301,6
160576,6
43845,1
105286,1
111432,6
58185,2
19274,6
68407,1
107340,2
20964,3
111438,2
58191,2
32421,2
21331,6
56148,3
150485,1
56151,6
39396,2
105306,1
80731,5
162652,2
80733,4
283486,1
238431,2
224096,1
20283,3
21348,6
27494,2
27952,1
105320,1
56169,2
105322,2
20626,3
150382,6
238441,2
129905,1
19315,6
7028,6
21365,6
324470,5
246249,1
129913,1
265082,2
21311,6
19324,5
111485,1
111488,1
23429,1
21382,6
5025,2
18531,6
13197,3
7054,5
203663,5
203664,5
21393,6
23165,4
6638,1
80790,1
76699,6
76700,6
76701,6
76702,6
19359,4
5009,2
21409,6
76706,6
76707,6
76708,1
76709,6
156583,1
140200,5
19370,3
27563,3
21421,5
35493,6
218035,2
19381,6
951,4
21433,6
105403,2
12106,1
27582,2
19391,6
265153,1
105291,1
27590,3
19400,2
