iso3,nid,location_name,Stage,Codebook,problem_info,Total Polygons,% affected,Total Points,Row Count
TLS,20888,Timor-Leste,2a,ADB_DHS,20888TLS,24,26.09,26,28
MDA,8750,Moldova,3,CDC_RHS,8750MDA,7,100,70,29
GEO,27494,Georgia,3,CDC_RHS,27494GEO,23,37.1,35,75
ETH,227133,Ethiopia,1,IPUMS_CENSUS,227133ETH,15,2.37,16,17
PRT,227180,Portugal,3,IPUMS_CENSUS,227180PRT,1,3.23,2,2
DJI,3404,Djibouti,1,UNICEF_MICS,3404DJI,1,100,15,113
KEN,135416,Kenya,1,UNICEF_MICS,135416KEN,6,100,290,300
ZAF,12101,South Africa,1,WB_LSMS,12101ZAF,9,5.17,11,13
TJK,12489,Tajikistan,2a,WB_LSMS,12489TJK,3,4.76,11,14
CMR,2017,Cameroon,1,COUNTRY_SPECIFIC,2017CMR,1,10,1,1
